,survival,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone,family_size
0,0,3,male,0.3394149103491664,1,0,0.10461760461760462,S,Third,man,True,Southampton,no,False,2
2,1,3,female,0.4023277760301982,0,0,0.11435786435786435,S,Third,woman,False,Southampton,yes,True,1
3,1,1,female,0.5438817238125196,1,0,0.7662337662337663,S,First,woman,False,Southampton,yes,False,2
4,0,3,male,0.5438817238125196,0,0,0.11616161616161617,S,Third,man,True,Southampton,no,True,1
6,0,1,male,0.8427178357974205,0,0,0.7483766233766234,S,First,man,True,Southampton,no,True,1
7,0,3,male,0.02485058194400755,3,1,0.3041125541125541,S,Third,child,False,Southampton,no,False,5
8,1,3,female,0.4180559924504561,0,2,0.16065367965367966,S,Third,woman,False,Southampton,yes,False,3
9,1,2,female,0.21358917898710286,1,0,0.4339220779220779,C,Second,child,False,Cherbourg,yes,False,2
10,1,3,female,0.056307014784523435,1,1,0.24098124098124096,S,Third,child,False,Southampton,yes,False,3
11,1,1,female,0.9056307014784524,0,0,0.38311688311688313,S,First,woman,False,Southampton,yes,True,1
12,0,3,male,0.3079584775086505,0,0,0.11616161616161617,S,Third,man,True,Southampton,no,True,1
13,0,3,male,0.6067945894935515,1,5,0.45129870129870125,S,Third,man,True,Southampton,no,False,7
14,0,3,female,0.21358917898710286,0,0,0.11333621933621933,S,Third,child,False,Southampton,no,True,1
15,1,2,female,0.8584460522176786,0,0,0.23088023088023088,S,Second,woman,False,Southampton,yes,True,1
16,0,3,male,0.02485058194400755,4,1,0.4202741702741703,Q,Third,child,False,Queenstown,no,False,6
18,0,3,female,0.4809688581314879,1,0,0.2597402597402597,S,Third,woman,False,Southampton,no,False,2
20,0,2,male,0.5438817238125196,0,0,0.37518037518037517,S,Second,man,True,Southampton,no,True,1
21,1,2,male,0.5281535073922617,0,0,0.18759018759018758,S,Second,man,True,Southampton,yes,True,1
22,1,3,female,0.2293173954073608,0,0,0.11586147186147186,Q,Third,child,False,Queenstown,yes,True,1
23,1,1,male,0.43378420887071406,0,0,0.5122655122655123,S,First,man,True,Southampton,yes,True,1
24,0,3,female,0.1192198804655552,3,1,0.3041125541125541,S,Third,child,False,Southampton,no,False,5
